,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS
276,Al1 Ta1 Zr1 V1 Nb1,AlVZrNbTa,SS,SS,-8.568457377338264,49.65049886996099,85.25126960343297
277,Al1 Ta1 Zr1 V1 Hf1,AlVZrHfTa,SS,SS,-9.392615527819345,50.880101300088796,85.19856918309019
278,Al1 Ta1 Zr1 Pd1 Nb1,AlZrNbPdTa,SS,SS,-3.790729045353337,39.66601478773332,95.15637802989829
279,Al1 Ta1 Zr1 Pd1 Hf1,AlZrPdHfTa,SS,SS,-7.067389214510556,43.41994820731611,98.79852568233018
280,Al1 Ta1 Zr1 Nb1 Hf1,AlZrNbHfTa,SS,SS,-9.38376462192043,50.517055148990764,84.99137756731741
281,Al1 Ta1 Ti1 Mo1 V1,AlTiVMoTa,SS,SS,-5.928658117042442,37.57307455878773,78.76668904612838
282,Al1 Ta1 Ti1 Mo1 Pd1,AlTiMoPdTa,SS,SS,-4.375192366093354,35.7948174955682,83.92515781357083
283,Al1 Ta1 Ti1 Mo1 Nb1,AlTiNbMoTa,SS,SS,-3.833023475366836,38.980567492935116,79.33581739583613
284,Al1 Ta1 Ti1 Mo1 Hf1,AlTiMoHfTa,SS,SS,-6.548503552945404,44.514217233269534,83.9516513575339
285,Al1 Ta1 Ti1 V1 Pd1,AlTiVPdTa,SS,SS,-6.028644117331311,41.662288848499706,94.27610830436679
286,Al1 Ta1 Ti1 V1 Nb1,AlTiVNbTa,SS,SS,-6.612796777378351,48.57744721417554,91.92751986661555
287,Al1 Ta1 Ti1 V1 Hf1,AlTiVHfTa,SS,SS,-9.17355506035702,49.592855759916574,82.73147552589847
288,Al1 Ta1 Ti1 Pd1 Nb1,AlTiNbPdTa,SS,SS,-4.635991398813802,43.49107542265863,94.63826263791731
289,Al1 Ta1 Ti1 Pd1 Hf1,AlTiPdHfTa,SS,SS,-6.699292267274845,43.05374245626844,97.20961644066624
290,Al1 Ta1 Ti1 Nb1 Hf1,AlTiNbHfTa,SS,SS,-9.040541998474696,49.054181627702526,83.91332985635539
291,Al1 Ta1 Mo1 V1 Pd1,AlVMoPdTa,SS,SS,-4.304259239970865,36.94874432841883,85.67433679731667
292,Al1 Ta1 Mo1 V1 Nb1,AlVNbMoTa,SS,SS,-4.861802168291131,38.22805716460467,80.99656409424152
293,Al1 Ta1 Mo1 V1 Hf1,AlVMoHfTa,SS,SS,-4.345201150475319,37.891330434772875,79.3039101045353
294,Al1 Ta1 Mo1 Pd1 Nb1,AlNbMoPdTa,SS,SS,-2.993400876323106,36.119644966501724,85.81482966446201
295,Al1 Ta1 Mo1 Pd1 Hf1,AlMoPdHfTa,SS,SS,-1.64962160922828,33.76084811246571,88.31216853280465
296,Al1 Ta1 Mo1 Nb1 Hf1,AlNbMoHfTa,SS,SS,-5.204470035429185,39.82832821356875,80.24388514282496
297,Al1 Ta1 V1 Pd1 Nb1,AlVNbPdTa,SS,SS,-5.18751525682316,40.86001883429867,94.98778413218744
298,Al1 Ta1 V1 Pd1 Hf1,AlVPdHfTa,SS,SS,-3.209861755682613,37.04774985439303,95.1519954545563
299,Al1 Ta1 V1 Nb1 Hf1,AlVNbHfTa,SS,SS,-7.560639914849866,48.499445649234424,84.88518932135717
300,Al1 Ta1 Pd1 Nb1 Hf1,AlNbPdHfTa,SS,SS,-3.281465941663301,38.17435844156216,95.41632923266963
301,Al1 Zr1 Ti1 Mo1 V1,AlTiVZrMo,IM,SS,-5.19186494790811,41.6974929638938,81.5776639132221
302,Al1 Zr1 Ti1 Mo1 Pd1,AlTiZrMoPd,SS,SS,-3.7013968615523125,34.34015644566069,90.0184069245628
303,Al1 Zr1 Ti1 Mo1 Nb1,AlTiZrNbMo,SS,SS,-5.0397536833427266,40.53417044623325,85.30420938165821
304,Al1 Zr1 Ti1 Mo1 Hf1,AlTiZrMoHf,SS,SS,-8.330301804950166,46.758638960757224,88.98097738251623
305,Al1 Zr1 Ti1 V1 Pd1,AlTiVZrPd,SS+IM,IM,-6.688758311891668,44.74643789378812,109.55468396834017
